id;name;valid_from;valid_to
1;Forward;2019-12-16T20:48:38;2019-12-16T03:24:14
2;unleash;2019-12-16T16:30:23;2019-12-16T16:00:21
3;compress Rustic Granite Pizza Movies;2019-12-17T01:17:45;2019-12-16T11:55:37
4;Connecticut back-end groupware;2019-12-16T08:16:31;2019-12-16T18:27:48
5;Future;2019-12-17T02:16:33;2019-12-16T09:13:15
6;Venezuela Rubber;2019-12-16T05:37:43;2019-12-16T04:18:58
7;Refined Cotton Cheese modular;2019-12-16T09:15:36;2019-12-16T14:55:56
8;Engineer Metal microchip;2019-12-16T22:12:40;2019-12-16T13:13:54
9;Groves Representative;2019-12-16T12:11:42;2019-12-16T03:35:00
10;Computer Games;2019-12-16T09:31:10;2019-12-16T21:23:31
