id;name;location;latest_recorded_population;valid_from;valid_to
1;syndicate haptic;Bedfordshire;40895;2019-12-16T09:27:53;2019-12-16T08:16:25
2;Baby Credit Card Account Nevada;Persistent transparent Chips;90845;2019-12-16T18:34:41;2019-12-16T12:47:50
3;strategize;value-added Savings Account;91185;2019-12-16T12:43:45;2019-12-16T23:27:35
4;Generic Advanced;HDD Security Virginia;69665;2019-12-16T07:50:12;2019-12-16T04:39:32
5;alarm;quantify;37443;2019-12-16T12:14:15;2019-12-17T01:08:40
6;Handmade Unbranded;Chief Coves Concrete;98484;2019-12-16T22:49:34;2019-12-16T06:39:55
7;Fresh;strategy instruction set Persistent;60789;2019-12-16T17:13:21;2019-12-16T17:41:43
8;navigate;neural;463;2019-12-16T12:18:34;2019-12-16T18:47:41
9;synergize;JSON National;46570;2019-12-16T18:28:18;2019-12-16T15:15:31
10;District Idaho Grocery;Concrete Towels Avon;41892;2019-12-17T01:59:08;2019-12-16T04:50:33
