id;cold_room_sensor_number;recorded_when;temperature;valid_from;valid_to
1;10312;2019-11-06T09:52:04;54778;2019-11-07T06:26:40;2019-11-06T09:40:09
2;40360;2019-11-06T19:49:55;73788;2019-11-07T04:36:30;2019-11-06T16:15:17
3;58218;2019-11-06T23:01:06;20444;2019-11-07T00:50:50;2019-11-06T20:41:28
4;39761;2019-11-07T07:23:12;26427;2019-11-06T18:37:56;2019-11-07T04:14:09
5;51678;2019-11-06T21:34:15;74016;2019-11-07T02:43:08;2019-11-06T18:01:38
6;28746;2019-11-06T19:58:24;65675;2019-11-06T16:36:33;2019-11-06T09:55:09
7;14394;2019-11-06T18:40:36;59535;2019-11-07T07:18:59;2019-11-07T05:01:59
8;7558;2019-11-06T10:57:05;95142;2019-11-07T07:31:25;2019-11-07T02:01:44
9;43037;2019-11-07T06:57:15;69579;2019-11-06T18:47:13;2019-11-06T22:10:17
10;62364;2019-11-07T06:57:13;64850;2019-11-06T19:52:58;2019-11-07T02:44:46
