id;name;valid_from;valid_to
1;Cloned quantifying;2019-12-16T13:19:49;2019-12-16T13:43:02
2;Executive Synergistic;2019-12-16T17:06:15;2019-12-16T09:27:08
3;Licensed Metal Towels Namibia;2019-12-17T00:50:17;2019-12-16T21:22:20
4;indexing initiatives;2019-12-16T23:25:00;2019-12-16T04:06:11
5;overriding Bermudian Dollar (customarily known as Bermuda Dollar);2019-12-16T15:42:17;2019-12-16T06:06:44
6;Ports generate;2019-12-16T19:49:32;2019-12-17T01:18:18
7;Avon cross-platform Wall;2019-12-17T01:33:09;2019-12-16T07:44:39
8;Bedfordshire end-to-end GB;2019-12-16T13:43:24;2019-12-16T18:52:28
9;input Andorra yellow;2019-12-16T05:43:55;2019-12-16T10:58:07
10;Pizza Enterprise-wide Division;2019-12-16T13:21:19;2019-12-16T03:09:36
