id;transaction_date;amount_excluding_tax;tax_amount;transaction_amount;outstanding_balance;finalization_date;is_finalized;last_edited_by;last_edited_when
1;2019-11-07T06:54:14;46393;34366;90922;28243;2019-11-06T20:14:06;false;primary reintermediate;2019-11-06T22:19:23
2;2019-11-06T13:26:00;39738;38042;9340;77561;2019-11-06T22:34:41;true;mint green;2019-11-06T20:36:14
3;2019-11-07T06:54:24;28713;35667;79285;75748;2019-11-06T19:18:06;false;project withdrawal;2019-11-07T04:27:49
4;2019-11-06T11:12:06;89695;53302;52019;15795;2019-11-06T22:25:17;true;back-end methodology;2019-11-06T12:35:30
5;2019-11-07T00:26:57;90614;89718;27690;16885;2019-11-06T09:33:34;true;Savings Account;2019-11-07T08:21:45
6;2019-11-07T04:44:32;36369;89398;73263;65429;2019-11-06T13:28:29;false;schemas;2019-11-06T18:23:48
7;2019-11-06T09:56:16;8346;85687;88241;11764;2019-11-06T13:52:38;true;toolset Administrator;2019-11-06T21:30:55
8;2019-11-06T09:32:43;12243;66791;72518;63467;2019-11-07T01:24:41;false;JBOD systems Keyboard;2019-11-07T08:51:40
9;2019-11-06T16:40:45;55975;9303;52739;2936;2019-11-06T15:53:58;true;blue innovate Officer;2019-11-07T01:04:46
10;2019-11-06T12:34:03;29648;81906;91820;54079;2019-11-07T06:30:20;true;website Turnpike quantifying;2019-11-06T22:08:29
