id;name;valid_from;valid_to
1;Technician Architect calculate;2019-12-16T23:40:37;2019-12-16T12:32:01
2;utilize Small Fresh Gloves target;2019-12-16T07:08:54;2019-12-16T08:18:34
3;UAE Dirham;2019-12-16T16:05:51;2019-12-16T22:59:04
4;Wells;2019-12-16T04:08:09;2019-12-16T16:34:15
5;Terrace;2019-12-16T22:52:19;2019-12-16T14:09:02
6;calculating conglomeration bypassing;2019-12-16T08:15:05;2019-12-16T10:28:02
7;deposit;2019-12-16T20:14:27;2019-12-16T05:57:57
8;Liaison Grocery capacitor;2019-12-16T04:58:14;2019-12-16T16:43:32
9;invoice unleash grid-enabled;2019-12-16T03:11:02;2019-12-16T19:18:44
10;success program;2019-12-16T08:53:57;2019-12-16T21:41:04
