id;description;quantity;unit_price;tax_rate;tax_amount;line_profit;extended_price;last_edited_by;last_edited_when
1;Vatu Bedfordshire;30531;36037;21264;6850;3318;76315;systems;2019-11-06T14:56:31
2;Human Right-sized neural;5909;66498;89884;26028;65076;90719;UAE Dirham Florida Fantastic;2019-11-06T22:26:04
3;Flats AI;54664;12884;38040;41276;97680;80235;Landing;2019-11-07T08:43:54
4;mindshare;2717;91807;96624;28003;12745;85834;zero administration Internal synthesize;2019-11-06T13:50:46
5;Industrial Communications hard drive;30475;62823;82939;53267;28152;63508;Courts magenta Granite;2019-11-07T07:31:25
6;content-based;4612;1240;56717;46876;28382;30126;Checking Account contingency parallelism;2019-11-06T15:19:38
7;Ergonomic Fresh Salad SCSI;66780;33040;59322;34040;89230;98902;Checking Account;2019-11-06T20:24:44
8;synthesizing;28529;3467;42918;58280;26777;99543;COM Norfolk Island Gorgeous Fresh Bike;2019-11-06T18:47:18
9;Soft Sleek;90962;3264;66920;86855;82928;6468;Intranet Beauty North Korean Won;2019-11-07T07:11:27
10;District;46443;77387;13752;60192;34081;89252;initiatives;2019-11-06T18:35:37
