id;carrier_tracking_number;quantity;unit_price;unit_price_discount;line_total;tax_rate;picked_quantity;picking_completed_when;status;last_edited_by;last_edited_when
1;data-warehouse Sleek bluetooth;64414;99946;4818;10480;36005;49857;2019-12-16T03:50:13;BACK_ORDER;Intelligent withdrawal;2019-12-16T08:18:05
2;Movies PNG;18602;41650;55206;82217;41579;85034;2019-12-16T09:31:43;BACK_ORDER;Row THX indigo;2019-12-16T10:31:58
3;Checking Account fault-tolerant Frozen;65163;12572;73859;73709;31562;97459;2019-12-16T11:19:27;BACK_ORDER;Extensions Vermont Gorgeous;2019-12-17T01:46:04
4;Azerbaijanian Manat bypassing;78201;51586;54380;26759;9986;83548;2019-12-16T10:17:14;BACK_ORDER;next-generation Clothing Frozen;2019-12-16T16:52:22
5;Buckinghamshire;40428;33024;53093;90606;59513;26667;2019-12-17T02:33:42;BACK_ORDER;copy Springs reciprocal;2019-12-16T21:31:29
6;Frozen RAM;57535;1694;7638;77015;38258;80715;2019-12-16T17:58:28;AVAILABLE;Garden encompassing;2019-12-16T08:14:41
7;Bedfordshire turn-key incubate;135;56809;29980;66300;64645;54838;2019-12-16T03:25:10;BACK_ORDER;Auto Loan Account high-level maroon;2019-12-16T23:08:39
8;Senior;71013;22823;93737;24660;60329;48407;2019-12-16T15:26:19;OUT_OF_STOCK;haptic;2019-12-16T03:00:30
9;Niger Infrastructure;7560;77692;36568;20498;22538;72562;2019-12-16T22:06:00;BACK_ORDER;leverage bifurcated Assistant;2019-12-16T14:08:45
10;Regional Chicken;64281;25990;80986;34519;94739;91748;2019-12-16T18:42:14;OUT_OF_STOCK;Senior feed;2019-12-17T01:18:26
