id;order_date;due_date;ship_date;payment_status;order_flag;order_number;sub_total;tax_amount;frieight;total_due;comments;delivery_instructions;internal_comments;picking_completed_when;status;last_edited_by;last_edited_when
1;2019-11-06T17:45:33;2019-11-07T00:14:31;2019-11-06T19:28:06;135;56809;payment;54838;97419;87925;84706;Toys Internal multi-byte;high-level maroon Gloves;Handmade Concrete Sausages Phased Berkshire;2019-11-06T15:13:31;CANCELLED;West Virginia;2019-11-06T09:23:56
2;2019-11-06T10:32:19;2019-11-07T03:25:26;2019-11-06T14:19:10;53073;99132;Niger Infrastructure;7560;77692;36568;20498;microchip;Fresh Auto Loan Account;leverage bifurcated Assistant;2019-11-06T20:30:34;CANCELLED;scalable collaborative;2019-11-06T11:08:39
3;2019-11-07T01:04:03;2019-11-07T02:11:30;2019-11-06T15:45:52;46998;53881;Handmade Metal Car Canadian Dollar Solutions;49731;63092;23025;44767;Cotton;internet solution compress dot-com;Codes specifically reserved for testing purposes Generic upward-trending;2019-11-06T13:47:48;COMPLETED;Florida;2019-11-06T12:25:44
4;2019-11-06T22:28:15;2019-11-06T21:36:43;2019-11-07T04:08:36;89767;4997;hacking Strategist haptic;85378;39185;24197;65911;Intelligent invoice Cambridgeshire;capacitor Designer;black Lights;2019-11-06T11:05:55;CANCELLED;Supervisor;2019-11-07T04:36:04
5;2019-11-06T13:15:31;2019-11-06T14:08:30;2019-11-06T15:35:35;90789;35504;Codes specifically reserved for testing purposes synthesize Metrics;96705;75731;39279;16167;Springs card Enterprise-wide;Prairie back-end;Rhode Island program Borders;2019-11-07T08:52:24;CANCELLED;bluetooth;2019-11-07T08:03:30
6;2019-11-07T03:50:02;2019-11-06T13:46:12;2019-11-07T01:26:37;17788;84804;transmitter Gorgeous;42870;24580;2916;40276;Dynamic Music;bottom-line recontextualize Principal;Avon Buckinghamshire Berkshire;2019-11-06T17:54:48;PENDING;Division;2019-11-06T19:18:47
7;2019-11-07T02:33:02;2019-11-07T00:35:34;2019-11-06T18:14:06;78754;99244;mesh;57384;35857;41560;65663;Triple-buffered cyan Principal;Beauty;ivory Intelligent Steel Sausages Keyboard;2019-11-06T12:21:41;CANCELLED;New Jersey convergence;2019-11-07T01:19:54
8;2019-11-06T14:57:12;2019-11-06T13:00:44;2019-11-07T02:23:02;14381;35305;Human Configuration;89255;40094;41944;76310;indexing XML Cook Islands;Illinois;empowering;2019-11-06T18:54:45;PENDING;Accountability;2019-11-06T20:59:52
9;2019-11-06T22:07:26;2019-11-06T23:20:17;2019-11-07T06:52:57;81087;82674;Incredible Metal Chicken input world-class;82478;15159;51565;87588;Aruba discrete;Program embrace;generate Toys;2019-11-06T23:09:58;COMPLETED;matrix;2019-11-07T04:21:01
10;2019-11-07T03:44:12;2019-11-07T04:16:40;2019-11-07T01:51:47;1009;30394;Team-oriented Movies;72934;19111;96684;31008;alarm;index synthesizing;Money Market Account National;2019-11-06T13:31:53;PENDING;Principal redundant;2019-11-06T09:31:39
