id;name;valid_from;valid_to
1;Forward;2019-12-16T16:23:02;2019-12-16T06:07:44
2;navigating;2019-12-16T14:29:42;2019-12-16T09:26:16
3;Industrial Idaho;2019-12-16T12:04:53;2019-12-16T13:40:31
4;Nakfa Swedish Krona;2019-12-16T21:54:13;2019-12-17T00:36:25
5;gold HTTP;2019-12-16T09:04:16;2019-12-16T04:55:26
6;Computers;2019-12-16T18:15:25;2019-12-16T21:39:16
7;analyzing;2019-12-16T20:51:32;2019-12-16T04:55:57
8;bleeding-edge;2019-12-16T16:36:21;2019-12-16T09:12:53
9;Home Loan Account;2019-12-16T10:39:05;2019-12-16T12:31:30
10;productize;2019-12-16T18:48:27;2019-12-16T06:40:36
