id;product_brand_name;photo;photo_content_type
1;Customer users;../fake-data/blob/hipster.png;image/png
2;Architect Innovative;../fake-data/blob/hipster.png;image/png
3;JSON Forward;../fake-data/blob/hipster.png;image/png
4;Borders Factors;../fake-data/blob/hipster.png;image/png
5;Factors;../fake-data/blob/hipster.png;image/png
6;Practical Rubber Ball Principal;../fake-data/blob/hipster.png;image/png
7;Granite;../fake-data/blob/hipster.png;image/png
8;emulation Response;../fake-data/blob/hipster.png;image/png
9;repurpose Planner Licensed Rubber Shirt;../fake-data/blob/hipster.png;image/png
10;Dale;../fake-data/blob/hipster.png;image/png
