id;video_url;highlights;long_description;short_description;description;care_instructions;product_type;model_name;model_number;fabric_type;special_features;product_compliance_certificate;genuine_and_legal;country_of_origin;usage_and_side_effects;safety_warnning;warranty_period;warranty_policy
1;sky blue;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;copy;Oklahoma JSON Somali Shilling;time-frame non-volatile;Implementation Benin Operative;../fake-data/blob/hipster.txt;calculating;false;virtual;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Lao People's Democratic Republic Arizona Savings Account;interface
2;Personal Loan Account Planner bandwidth;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Soft pixel Mouse;Latvian Lats;Kids Multi-tiered;Falkland Islands (Malvinas) innovative;../fake-data/blob/hipster.txt;microchip neural;false;bypass;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;convergence invoice;compress multi-byte
3;robust;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Chief syndicate empowering;bus Sports Harbors;JSON Small Steel Towels;protocol Bedfordshire;../fake-data/blob/hipster.txt;Rand;false;Soap contextually-based;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Berkshire users;bypass
4;transmitting Cross-group;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Object-based;navigate Tasty Rubber Shoes Soft;streamline;navigating Metal;../fake-data/blob/hipster.txt;Jamaica;true;Expanded Practical integrate;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Throughway Louisiana;withdrawal granular
5;Unbranded 24/7;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;unleash;Facilitator Planner XML;neutral Bedfordshire;payment Glens Bedfordshire;../fake-data/blob/hipster.txt;directional Gloves Unbranded;false;Granite;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Customer;Towels Gorgeous Plastic Pants
6;XML;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Sleek bypass;Shoes Designer exploit;Bulgarian Lev Clothing;Configuration Louisiana;../fake-data/blob/hipster.txt;Toys;true;redundant Salad Nigeria;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;International;bi-directional extranet
7;turquoise Dynamic index;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;encryption Savings Account Cheese;Ferry Quality-focused;Program Director;Forges Cotton;../fake-data/blob/hipster.txt;overriding purple Implementation;false;Administrator generating auxiliary;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Books;engineer success
8;Sleek;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;iterate withdrawal;bypassing Frozen;ivory Views Buckinghamshire;scalable Group modular;../fake-data/blob/hipster.txt;magenta;true;Chief Manager Jewelery;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;card;disintermediate
9;cohesive;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Metrics;deposit array Administrator;Self-enabling Investment Account;IB Fish;../fake-data/blob/hipster.txt;Cuba withdrawal radical;true;Borders Cotton;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;copy;Senior
10;encoding;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;strategic withdrawal;productize;COM;SMTP Chair;../fake-data/blob/hipster.txt;open-source redundant;false;fresh-thinking Montana Adaptive;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Belarussian Ruble invoice Sleek Cotton Cheese;Graphical User Interface Borders JSON
