id;ordered_outers;description;received_outers;expected_unit_price_per_outer;last_receipt_date;is_order_line_finalized;last_edited_by;last_edited_when
1;2907;Pants Bacon;38767;9299;2019-12-16T17:08:37;true;Mission payment Ergonomic Rubber Bike;2019-12-16T13:19:26
2;70294;Generic Granite Chicken Auto Loan Account;60214;26982;2019-12-17T02:14:57;true;Borders;2019-12-17T00:57:00
3;14899;Gourde US Dollar;74592;78489;2019-12-16T03:13:57;true;neural;2019-12-16T14:23:07
4;52029;enable Plastic;73550;43401;2019-12-16T21:08:20;false;green Auto Loan Account;2019-12-16T09:08:38
5;76658;capacitor model Table;63755;63617;2019-12-16T14:53:30;true;Metal;2019-12-16T16:57:43
6;99112;navigate hard drive Intranet;20293;18447;2019-12-16T13:13:35;false;strategic Clothing Toys;2019-12-16T06:50:20
7;58647;Denar;92961;29872;2019-12-16T08:01:04;true;systematic;2019-12-16T16:29:16
8;22554;generate Estates Squares;43518;45818;2019-12-16T04:18:12;false;Rubber Small circuit;2019-12-16T14:53:04
9;90939;1080p Shoes;5728;15890;2019-12-16T21:23:39;true;Cotton;2019-12-16T08:46:00
10;92262;Ville Movies;28274;5705;2019-12-17T01:43:45;false;didactic;2019-12-16T20:52:19
