id;product_rating;product_review;seller_rating;seller_review;delivery_rating;delivery_review;thumbnail_url;last_edited_by;last_edited_when
1;28608;../fake-data/blob/hipster.txt;33873;../fake-data/blob/hipster.txt;72276;../fake-data/blob/hipster.txt;Implementation Legacy;Practical Fresh Bacon magenta;2019-12-16T05:49:07
2;18356;../fake-data/blob/hipster.txt;35252;../fake-data/blob/hipster.txt;82091;../fake-data/blob/hipster.txt;e-services azure bandwidth-monitored;Hat;2019-12-16T14:58:17
3;23437;../fake-data/blob/hipster.txt;8193;../fake-data/blob/hipster.txt;12356;../fake-data/blob/hipster.txt;Frozen;Producer monetize;2019-12-16T04:38:43
4;3465;../fake-data/blob/hipster.txt;54482;../fake-data/blob/hipster.txt;12722;../fake-data/blob/hipster.txt;International;withdrawal Supervisor;2019-12-16T20:26:35
5;72863;../fake-data/blob/hipster.txt;67205;../fake-data/blob/hipster.txt;52806;../fake-data/blob/hipster.txt;yellow;Tools;2019-12-16T02:49:02
6;83716;../fake-data/blob/hipster.txt;80227;../fake-data/blob/hipster.txt;86529;../fake-data/blob/hipster.txt;Home Loan Account card Wooden;multi-tasking aggregate;2019-12-16T08:39:10
7;88015;../fake-data/blob/hipster.txt;53966;../fake-data/blob/hipster.txt;19499;../fake-data/blob/hipster.txt;access;Generic infomediaries;2019-12-16T04:24:27
8;11201;../fake-data/blob/hipster.txt;63740;../fake-data/blob/hipster.txt;84946;../fake-data/blob/hipster.txt;Democratic People's Republic of Korea Island Executive;RAM 1080p Computer;2019-12-16T14:30:36
9;2747;../fake-data/blob/hipster.txt;48737;../fake-data/blob/hipster.txt;40362;../fake-data/blob/hipster.txt;Representative Towels;Chile Handmade Steel Hat magenta;2019-12-17T02:01:29
10;20287;../fake-data/blob/hipster.txt;74335;../fake-data/blob/hipster.txt;74562;../fake-data/blob/hipster.txt;Liaison invoice Avon;access Re-contextualized e-enable;2019-12-16T20:41:32
