id;total_price;total_cargo_price;last_edited_by;last_edited_when
1;30239;22047;Shoes;2019-12-16T17:03:04
2;85312;92658;capacitor infrastructures Berkshire;2019-12-17T00:46:55
3;2822;98457;withdrawal modular Oklahoma;2019-12-17T00:10:32
4;42984;96583;Chips;2019-12-16T11:15:02
5;96448;24545;sensor;2019-12-16T08:09:34
6;97284;67341;Investment Account;2019-12-16T05:23:02
7;10045;7862;adapter Intuitive;2019-12-16T03:05:27
8;22069;38938;matrix Turkish Lira;2019-12-16T21:42:47
9;84564;23899;5th generation eyeballs;2019-12-16T21:10:45
10;92506;1965;RAM Developer;2019-12-16T18:36:19
