id;deal_description;start_date;end_date;discount_amount;discount_percentage;discount_code;unit_price;last_edited_by;last_edited_when
1;input;2019-11-06T23:43:38;2019-11-06T20:08:40;59063;14960;optimize relationships;75382;Games reciprocal Borders;2019-11-07T02:42:41
2;Checking Account Bedfordshire seamless;2019-11-06T10:22:59;2019-11-07T02:02:47;63215;71442;quantify;10251;Buckinghamshire Bedfordshire holistic;2019-11-06T10:46:26
3;hacking Costa Rican Colon;2019-11-06T16:01:12;2019-11-07T06:48:22;46171;80351;Metal Soft transmitting;34460;Jewelery;2019-11-07T07:55:06
4;Plastic;2019-11-07T04:02:32;2019-11-07T01:06:33;66514;97852;RAM;70116;feed Michigan Infrastructure;2019-11-06T21:15:13
5;grow;2019-11-07T05:15:03;2019-11-06T21:00:13;78620;38723;Regional Books optical;12438;wireless;2019-11-06T18:22:55
6;indexing Intelligent Oklahoma;2019-11-06T21:08:16;2019-11-06T13:33:10;70619;54643;Designer Practical Granite Gloves;71845;RAM Chips;2019-11-06T13:57:50
7;Uruguay architect Fresh;2019-11-06T12:23:49;2019-11-06T13:45:11;15727;67715;Money Market Account;31654;quantifying Buckinghamshire Gorgeous Plastic Soap;2019-11-06T10:43:01
8;transmitting Agent;2019-11-06T18:05:31;2019-11-07T08:52:19;24751;67401;Intelligent Rubber Chair;28763;collaboration best-of-breed;2019-11-06T18:15:10
9;killer circuit maximize;2019-11-07T07:31:24;2019-11-07T03:13:57;78375;35585;Practical;33346;Gourde US Dollar Small Concrete Pants matrix;2019-11-06T09:35:41
10;wireless alarm;2019-11-07T06:22:31;2019-11-07T04:23:17;78099;41833;quantify Tasty eco-centric;27631;functionalities Supervisor Practical Granite Chips;2019-11-07T04:51:32
