id;code;name;sales_territory;border;latest_recorded_population;valid_from;valid_to
1;Awesome Russian Federation;Pennsylvania Michigan;Cotton encompassing;Dynamic Home Loan Account;24435;2019-12-16T18:15:08;2019-12-16T14:50:26
2;methodology Integration Music;Pants;Avon;blue scalable Car;89676;2019-12-16T06:34:59;2019-12-17T00:52:22
3;Andorra;Rand Namibia Dollar Executive;incubate Agent TCP;Engineer Bedfordshire feed;82086;2019-12-16T04:29:37;2019-12-16T09:33:20
4;Mexico Gardens;override silver orchestration;tan program;Metal Auto Loan Account;28863;2019-12-17T00:42:13;2019-12-16T12:50:56
5;Sausages Haven;Checking Account frictionless;Rubber Awesome Frozen Mouse;Trinidad and Tobago Dollar;8786;2019-12-16T20:41:14;2019-12-16T23:28:00
6;Shoes Rubber Mall;users scalable;transmitting parse infrastructures;matrix Implementation Shirt;6649;2019-12-16T04:33:50;2019-12-16T09:00:42
7;Arizona synthesizing Fresh;override back-end hacking;open-source;payment National;31619;2019-12-16T05:44:45;2019-12-16T12:40:45
8;Tanzanian Shilling Lights;e-enable Plaza intranet;convergence Idaho customized;synthesize Bahrain;90647;2019-12-16T21:18:07;2019-12-16T11:49:01
9;Cotton Tactics;array Belize Dollar;optical;Borders reboot;57315;2019-12-16T07:52:20;2019-12-16T02:51:15
10;copy;Robust hack Electronics;application Cambridgeshire;scalable connecting Fantastic;84645;2019-12-16T15:49:50;2019-12-16T23:44:19
