id;transaction_occured_when;quantity;last_edited_by;last_edited_when
1;2019-12-16T06:32:16;78316;Metal withdrawal Plastic;2019-12-17T01:06:30
2;2019-12-17T02:18:10;90942;green transmitting Bouvet Island (Bouvetoya);2019-12-17T00:55:57
3;2019-12-16T22:40:34;95544;Re-engineered GB;2019-12-16T22:44:59
4;2019-12-16T16:14:22;85394;Electronics Avon;2019-12-16T08:20:05
5;2019-12-16T06:43:38;93479;Lead synthesizing;2019-12-16T05:29:05
6;2019-12-16T03:15:44;19921;hybrid system-worthy;2019-12-16T17:45:07
7;2019-12-16T03:56:27;39332;Jersey Soap Seychelles Rupee;2019-12-16T22:46:46
8;2019-12-16T22:08:19;31030;Buckinghamshire bluetooth;2019-12-16T09:03:14
9;2019-12-16T16:55:56;64553;Computer Iceland;2019-12-17T00:42:09
10;2019-12-16T07:45:58;37736;channels;2019-12-17T01:50:44
