id;name;valid_from;valid_to
1;Outdoors;2019-12-16T11:09:33;2019-12-16T09:38:28
2;Utah Mall;2019-12-16T13:45:42;2019-12-16T03:33:45
3;teal;2019-12-16T05:57:08;2019-12-17T00:36:40
4;Cheese Summit Saint Martin;2019-12-17T02:22:13;2019-12-16T11:46:12
5;Plastic Automotive Principal;2019-12-16T11:59:58;2019-12-16T22:20:53
6;Manors Music Savings Account;2019-12-16T12:13:26;2019-12-16T10:20:44
7;architectures;2019-12-16T21:59:11;2019-12-16T21:23:10
8;Car payment;2019-12-16T18:58:37;2019-12-16T20:20:36
9;redundant website;2019-12-16T15:52:26;2019-12-16T23:12:33
10;Circles;2019-12-16T10:28:06;2019-12-16T17:22:45
