id;imported_template;imported_template_content_type;imported_failed_template;imported_failed_template_content_type;last_edited_by;last_edited_when
1;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;cross-platform;2019-12-16T19:40:16
2;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Concrete;2019-12-16T23:18:33
3;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Brunei Dollar;2019-12-16T11:22:37
4;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;mobile;2019-12-16T04:18:17
5;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Philippine Peso;2019-12-16T23:03:49
6;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Up-sized;2019-12-16T06:35:30
7;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;lavender;2019-12-17T01:03:49
8;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;UAE Dirham e-enable;2019-12-16T04:43:24
9;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;withdrawal Licensed;2019-12-16T04:03:21
10;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Multi-tiered granular extend;2019-12-17T01:34:29
