id;supplier_invoice_number;transaction_date;amount_excluding_tax;tax_amount;transaction_amount;outstanding_balance;finalization_date;is_finalized;last_edited_by;last_edited_when
1;Lek Director Fresh;2019-11-07T06:39:54;60321;72433;33722;57838;2019-11-06T11:25:52;false;Gorgeous Generic Investor;2019-11-07T04:33:32
2;framework Future-proofed;2019-11-07T00:38:37;61715;6942;44240;51905;2019-11-06T13:11:57;false;primary Profit-focused Ethiopia;2019-11-06T12:02:31
3;payment Denmark;2019-11-07T01:22:47;45685;33300;19032;66948;2019-11-07T07:54:27;true;withdrawal Wyoming;2019-11-06T15:37:41
4;Hill Awesome Rubber Computer;2019-11-06T10:10:51;96166;17530;63496;69000;2019-11-06T15:02:51;false;Indonesia;2019-11-07T06:50:36
5;Stravenue back up;2019-11-07T00:49:19;30085;66491;98123;79544;2019-11-06T21:45:59;true;Cross-group redefine;2019-11-07T05:30:20
6;Producer;2019-11-06T10:54:57;76859;53995;24365;84203;2019-11-06T17:02:47;true;Money Market Account;2019-11-07T07:01:28
7;program Rubber connecting;2019-11-06T14:23:42;15930;70874;6310;3616;2019-11-07T06:20:24;false;encompassing;2019-11-07T00:31:13
8;Incredible Integration;2019-11-06T19:52:21;50972;30552;82528;39698;2019-11-07T02:27:03;false;Auto Loan Account Avon Forward;2019-11-06T21:14:12
9;Planner navigating;2019-11-07T04:09:34;50115;93059;39717;11636;2019-11-06T20:12:36;true;whiteboard EXE;2019-11-06T12:19:49
10;back-end digital secured line;2019-11-07T07:13:17;32252;40298;2289;17352;2019-11-07T05:28:21;true;compelling;2019-11-06T09:44:57
