id;name;valid_from;valid_to
1;Tools Street;2019-12-16T13:14:34;2019-12-16T12:42:00
2;reciprocal;2019-12-16T09:39:41;2019-12-16T15:55:12
3;Malaysia supply-chains;2019-12-16T17:10:50;2019-12-16T14:52:14
4;hack Intelligent;2019-12-16T18:46:27;2019-12-16T06:06:58
5;Mobility;2019-12-16T17:50:22;2019-12-16T20:15:49
6;Dynamic;2019-12-16T14:09:40;2019-12-16T16:59:21
7;Industrial Pizza bus;2019-12-16T10:59:05;2019-12-16T17:00:26
8;Cyprus;2019-12-16T20:42:20;2019-12-16T21:15:11
9;Moldovan Leu;2019-12-17T02:19:33;2019-12-16T12:31:04
10;impactful;2019-12-16T13:07:56;2019-12-16T22:30:49
