id;vehicle_registration;chiller_sensor_number;recorded_when;temperature;is_compressed;full_sensor_data;compressed_sensor_data
1;14362;deposit;72747;58076;true;Networked software Berkshire;pixel
2;73187;Pants out-of-the-box payment;7069;12781;false;French Polynesia Supervisor;invoice ADP
3;34476;engage Human redundant;71495;60430;false;District Keyboard;Small Baby
4;87353;Monitored;21150;34526;true;middleware;GB Usability
5;19234;bus withdrawal enterprise;1909;14387;true;Solutions;Michigan Mountain
6;51801;Shoes;42268;74641;true;metrics;contextually-based Assistant engage
7;17788;24/7;44018;62803;false;Massachusetts Money Market Account bus;Ouguiya
8;44808;Buckinghamshire;20425;5572;true;cross-media Analyst Loaf;Rubber uniform
9;86895;District Clothing Home Loan Account;71930;49236;true;Practical;Exclusive
10;91484;web-enabled Optimization United Arab Emirates;63154;63708;true;Granite enable Unbranded;Lock Cheese
